Country,Code,Year,Economic growth: the rate of change of real GDP,Capital investment as percent of GDP,Exchange rate: local currency units per U.S. dollar,Unemployment rate,"Terms of trade, base year = 2000",Government spending as percent of GDP,Economic growth forecast,"External debt, percent of Gross National Income","Internet users, percent of population","Oil reserves, billion barrels",Crop production index (2004-2006 = 100),"Banking system capital, percent of assets",Stock market capitalization as percent of GDP,High technology exports,Percent urban population,Annual HPI
India,IND,2015,8,32.12,64.15,5.57,104.23,10.43,8,23.03,17,5.67,139.6,7.21,72.08,14615.78,32.78,231.89
India,IND,2016,8.26,30.17,67.2,5.51,108.19,10.31,8.26,20.26,22,4.73,142.8,7.16,68.27,14300.75,33.18,251.24
India,IND,2017,7.04,30.82,65.12,5.42,103.74,10.75,7.04,19.49,32,4.62,151.7,7.39,87.89,15161.03,33.6,269.34
India,IND,2018,6.12,31.7,68.39,5.33,97.92,11.09,6.12,19.41,20.08,4.49,155.5083333,7.3,76.79,20273.09,34.03,283.17
India,IND,2019,5.02,30.21,70.42,5.36,104.6533333,11.77,4.18,19.69,29.07666667,4.42,159.3166667,7.348,75.81,18866.88533,34.47,291.59
Japan,JPN,2009,-5.42,21.32,93.57,5.1,74.37,19.63,-5.42,,78,0.04,96.7,4.3,63.2,104428.95,89.99,98.27
Japan,JPN,2010,4.19,21.3,87.78,5.1,67.73,19.49,4.19,,78.21,0.04,92.5,5.3,67.15,130195.14,90.81,100.24
Japan,JPN,2011,-0.12,22.1,79.81,4.52,61.6,20.19,-0.12,,79.05,0.04,92.1,5.1,54.01,133518.23,91.07,99.24
Japan,JPN,2012,1.5,22.65,79.79,4.3,60.46,20.25,1.5,,79.5,0.04,92.6,5.1,56.08,129759.45,91.15,98.81
Japan,JPN,2013,2,23.19,97.6,4,59.02,20.17,2,,88.22,0.04,92.1,5.6,88.12,111570.71,91.23,101.58
Japan,JPN,2014,0.37,23.92,105.94,3.6,58.44,20.15,0.38,,89.11,0.04,92.4,5.52,90.26,107607.06,91.3,102.18
Japan,JPN,2015,1.22,24.02,121.04,3.4,66.67,19.82,1.22,,91.06,0.04,89.8,5.63,111.51,98537.26,91.38,104.18
Japan,JPN,2016,0.52,23.42,108.79,3.1,72.33,19.9,0.52,,93.18,0.04,81.8,5.47,100.67,99291.27,91.46,106.81
Japan,JPN,2017,2.17,24.01,112.17,2.8,68.68,19.62,2.17,,91.73,0.04,,5.41,127.86,106416.05,91.54,108.74
Japan,JPN,2018,0.32,24.32,110.42,2.4,64.73,19.8,0.28,,91.28,0.04,,,106.9,111020.44,91.62,111.48
Japan,JPN,2019,0.65,,109.01,2.29,,19.8,0.67,,,0.04,,,121.83,104042.05,91.7,112.84
Philippines,PHL,2009,1.45,17.43,47.68,3.86,83.2,9.83,1.45,28.49,9,0.14,112.5,9.5,49.03,,45.37,98.4
Philippines,PHL,2010,7.33,20.44,45.11,3.61,81.17,9.72,7.34,28.2,25,0.14,110.2,10.23,75.5,,45.33,101.47
Philippines,PHL,2011,3.86,20.74,43.31,3.59,75.11,9.71,3.86,25.48,29,0.14,115.3,11.09,70.48,,45.52,108.34
Philippines,PHL,2012,6.9,19.56,42.23,3.5,74.96,10.79,6.9,23.85,36.24,0.14,119.3,11.7,87.55,,45.71,117
Philippines,PHL,2013,6.75,20.64,42.45,3.5,73.52,10.82,6.75,20.86,48.1,0.14,118.6,9.7,76.55,,45.9,134.36
Philippines,PHL,2014,6.35,20.92,44.4,3.6,76.75,10.56,6.35,23.26,49.6,0.14,114.7,9.95,88.02,,46.09,147.81
Philippines,PHL,2015,6.35,21.34,45.5,3.07,82.17,10.91,6.35,22.33,36,0.14,112.7,9.99,77.93,,46.28,162.59
Philippines,PHL,2016,7.15,24.62,47.49,2.71,84.2,11.26,7.15,21.11,55.5,0.14,109.6,9.74,75.24,,46.47,178.85
Philippines,PHL,2017,6.93,25.56,50.4,2.55,82.72,11.32,6.93,20.13,60.05,0.14,,10.02,88.41,33502.48,46.68,197.45
Philippines,PHL,2018,6.34,27.15,52.66,2.34,79.78,12.04,6.34,20.58,,0.14,,,74.43,33903.55,46.91,228.06
Philippines,PHL,2019,6.04,26.19,51.8,2.15,,12.53,6.04,20.19,43.03,0.14,,,73.06,,47.15,296.5
